ID,COMMENTS,KEYWORD1,KEYWORD2,KEYWORD3
1000,Japan March 11 2011 Earthquake  A magnitude 9091 earthquake struck off the coast of Honshu Japan on March 11 at 1446 local time The earthquake had a depth of 24 kilometres and struck 129 kilometres outside the city of Sendai 177 kilometres outside of Fukushima and some 372 kilometres northeast of Tokyo Tsunami  The earthquake triggered a massive tsunami with waves reaching as high as 40 metres and struck land as far as 10 kilometres inland Close to 28000 people were reported dead or missing as a result of the earthquake and tsunami Japanese authorities estimated the number of people injured as a result of this disaster was over 4000  Over 220000 buildings were damaged or destroyed  Costs of damages resulting from the earthquake and tsunami have been estimated at over 300 billion Nuclear Emergency  The Fukushima Daiichi nuclear power plant was severely damaged by the initial earthquake and subsequent tsunami that followed A nuclear emergency was declared by Japanese authorities following problems with one of the cooling systems These problems resulted in three major explosions at the Fukushima nuclear power plant resulting in a level 7 nuclear meltdown The explosions took place at reactor 1 on March 12 reactor 3 on March 14 and reactor 2 on March 15 On March 14 Japanese Prime Minister Kan announced that the 20 kilometre evacuation zone had been expanded to include a warning for people within 30 kilometres of the Fukushima Daiichi nuclear power plant The Canadian federal department of Foreign Affairs and International Trade DFAIT provided potassium Iodide KI to staff at the Canadian mission in Tokyo and Health Canada monitored gammaradiation levels at the Embassy confirming the absence of significant radiation meaning there was little threat to the health of Embassy staff The Canadian governments support to the government of Japan included a disaster victim identification team chemical biological radiological and nuclear technical expertise and equipment Canadian Armed Forces military assets to facilitate humanitarian relief efforts relief stocks and emergency medical and engineering capabilities At the time of the earthquake there were an estimated 11000 Canadian citizens present in Japan One Canadian citizen was confirmed to have been killed as a result of the earthquake and tsunami Total cost estimated is over 300 billion,march,earthquake,magnitude
1001,North West River and Sheshatshiu NL June 2325 2012 On June 23 the Department of Natural Resources Forestry Division recommended a mandatory evacuation of the communities of North West River and Sheshatshiu First Nation located approximately 20 kilometers north of Goose Bay due to smoke and the threat from wildfires On June 24 both communities declared local states of emergency with residents being placed under immediate evacuation order Fire and Emergency Services  Newfoundland and Labrador FESNL coordinated the Provincial Government response activities in Labrador and a Provision of Service agreement with the Department of National Defence DND was activated  Approximately 800 people were housed at Canadian Forces Base CFB Goose Bay and another approximate 300 people were also accommodated in emergency housing in Happy ValleyGoose Bay  Many individuals also stayed with family friends or in private accommodations in the Happy ValleyGoose Bay area  The evacuation order was lifted on June 25 and the evacuees returned home,june,june,department
1002,Vita MB October 23 2012  The town of Vita south of Winnipeg declared a state of local emergency in the face of wildfires on October 2  Fuelled by high winds and extremely dry conditions the wildfire forced the immediate evacuation of approximately 300 people to nearby Steinbach where they were received at the Steinbach Mennonite Church Evacuees were allowed to return home on October 3 as the fire passed the town and moved south Three homes and one bridge in the area were destroyed The fire also affected residents of the rural municipality of Tache and the community of Ross 120 of whom were also evacuated until the fire passed,october,declared,state
1003,Sicamous BC June 23 2012 Flash flooding near Sicamous BC washed out Highway 97A in two places damaging several vehicles and cutting off road access and drinking water supplies to hundreds of residences Around 350 people in the area of Swansea Point and 2 Mile were forced from their homes due to an evacuation order issued after two raging creeks jumped their banks Also a 72yearold man died after being swept into a fastmoving creek near Nelson A fivemember Rapid Damage Assessment Team landed in Sicamous which was swamped by the Shuswap swells and the Red Cross provided a resilience center to help assess needs and offered supplies to troubled residents in the community of about 3100,june,flash,flooding
1004,Peachland BC September 912 2012  A forest fire was reported on September 9 in Trepanier Bench in Peachland British Colombia Strong winds at speeds estimated between 30 to 40 kmh spread the fire quickly An evacuation order for approximately 1550 residents went into effect on September 9  The District of Peachland immediately opened Reception Centres to support evacuated residents The Central Okanagan Emergency Operation Centre was in full operation and supported firefighting efforts from BC Wildfire Management West Kelowna Peachland and Kelowna The Regional District Parks Services closed the Trepanier Creek Greenway Regional Park until a hazard assessment was conducted and the area deemed safe for the public Evacuated residents began returning on September 10 with the last 258 evacuees returning on September 12 Three homes and several buildings were destroyed during the fire,september,forest,fire
1005,Kirkland Lake ON May 2029 2012 A wildfire near the town of Kirkland Lake forced the evacuation of approximately 300 people and caused the town to declare a state of emergency Damage from the fire included a power line and an undetermined number of cabins in the Young Lake and Amikougami Lake area Power outages affected local mining operations All evacuated permanent residents returned to their homes on May 27 The Ontario Provincial Police reported that the fire originated from a campfire on the east side of Elsie Lake,wildfire,forced,evacuation
1006,Thunder Bay ON May 28 2012 Heavy rain and subsequent flooding caused the city of Thunder Bay in northwestern Ontario to declare a state of emergency Nearly 100 mm of rain was recorded at some weather stations in Thunder Bay on May 28  The flooding caused road closures damages to thousands of homes and interfered with utility services Thunder Bay Hydro cut power to 50 customers approximately 1500 individuals as a precaution to prevent electrical fires in severely flooded areas,heavy,rain,subsequent
1007,Quebec City QC July 31 to October 10 2012 The Direction Regionale de Sante Publique de la CapitaleNationale DRSP Quebec City regional public health authority reported an outbreak of legionnaires disease in Quebec City after it received reports of 13 cases of the disease According to the Agence de la Sante et des Services Sociaux de la CapitaleNationale Quebec City Health and Social Services Agency the lab analysis of samples taken from the cooling tower at 320 SaintJoseph Street East identified the specific bacteria that was found in the patients as legionnaires disease On September 18 the same day the results were obtained the cooling tower fans of this building were shut down by the owner The outbreak was declared to be over on October 10 after 20 days without a new case which is twice the incubation period of the disease In total 180 people were infected with legionnaires disease outbreak which caused 13 deaths,july,october,direction
1008,Toronto ON July 8 2013 A thunderstorm that produced 126 mm in precipitation caused flashflooding in the Greater Toronto area The flooding closed multiple transportation corridors caused widespread property damage and disrupted power to approximately 300000 residents The Insurance Bureau of Canada estimated that the flooding caused 940 million in insured property damage,july,thunderstorm,produced
1009,LacMegantic QC July 628 2013 A 74car freight train carrying crude oil derailed and exploded in LacMegantic Quebec The explosion caused the deaths of 42 people Five people were not accounted for and were officially listed as having been killed in the explosion Approximately 2000 people were evacuated from their homes The explosion destroyed 115 buildings and caused extensive damage to the centre of the town Over 5560000 litres of crude oil was released into the environment and an estimated 100000 litres spilled into the nearby Chaudiere river The spill travelled down the river and reached the town of SaintGeorges 80 kilometres to the northeast forcing local authorities to draw water from a nearby lake and install floating barriers to prevent contamination  Note Federal and Provincial payments are interim and do not represent final payment totals,lacmegantic,july,car
1010,Yukon Northwest Territories and British Columbia June 630 2012 More than 70 mm of precipitation from a lowpressure weather system combined with spring snowmelt caused widespread flooding in Upper Liard Yukon Nahanni Butte Northwest Territories and Lower Post British Columbia Approximately 20 people from Upper Liard 80 people from Nahanni Butte and 37 people from Lower Post were evacuated Approximately 2500 people including over 300 commercial transport trucks experienced traffic delays in the region because of highway washouts There was extensive damage to transportation corridors as well as approximately 25 buildings in areas affected by the flooding Floodwaters began receding on June 16 Residents were allowed to return home at the end of June,june,mm,precipitation
1011,Kasabonika Lake First Nation ON May 2731 2013 Snow and ice melt caused water levels to rise rapidly on Kasabonika Lake threatening the First Nations community that lives on the lake A local state of emergency was declared and approximately 150 of the most vulnerable residents were evacuated to the towns of Hearst and Greenstone Several buildings were damaged in the flood As water levels returned to normal residents were allowed to return to their homes by May 31,snow,ice,melt
1012,Southern Alberta June 1928 2013 A massive storm system crept through Alberta causing significant flooding throughout the province As of 2013 this event was responsible for the largest evacuation due to a natural disaster in Albertas history Beginning in northern Alberta Fort McMurray declared a local state of emergency when water from the Hanging Stone River breached its banks on June 8 The storm then moved south on June 19 where it remained for three days over southern Alberta Heavy rain spanning across a region from Canmore to Calgary produced an average of 75 to 150 mm during this threeday period Twentynine local states of emergency were declared throughout the province Four deaths were attributed to the floods which caused significant disruptions across the province to power telecommunications clean water supply and transportation corridors including a section of the TransCanada Highway that closed due to a mudslide caused by the torrential rain In Calgary the Bow and Elbow Rivers flooded which forced 75000 residents to evacuate the city Over 4000 business were affected and 3000 buildings were flooded including that Saddledome and the Calgary Zoo The towns of High River and Canmore were also significantly impacted by the floods In total flooding forced the evacuations of approximately 100000 Albertans As flood conditions improved some residents were allowed to gradually return to their communities beginning on June 23 while the remaining residents were allowed to return by June 28 Response to the flood was provided by municipal provincial and federal governments and nongovernmental organizations Insurance payments are estimated at 12 billion This disaster is estimated to have reduced Gross Domestic Product GDP in Southern Alberta by 550 million 2013 dollars,june,massive,storm
1013,Timmins ON May 24 to June 07 2012 A state of emergency was declared when smoke from a wildfire approximately 70 kilometers wide threatened communities in and around Timmins Ontario Approximately 1000 residents from the region were evacuated as a precaution The fire forced the temporary closure of some mining operations On June 7 the fire was contained and residents were able to return home,june,state,emergency
1014,Calgary AB July 12 2010 A massive 30minute long hailstorm pelted the city of Calgary on July 12 The hail ranged from 4 cm in diameter to baseballsized hail balls Apart from the hail the storm brought along with it heavy rain strong wind gusts thunder and lightning The storm caused severe damages throughout the city as hail broke windows dented cars and destroyed crops The hailstorm decimated over 90000 hectares of cropland near Strathmore and Hussar Crop damage claims were estimated at 185 million In total the estimated dollar value of damage claims was over 400 million making it the costliest hailstorm in Canada to date,july,massive,minute
1015,Gainford AB October 1922 2013 A local state of emergency was declared when a freight train derailed and caught fire near the village of Gainsford west of Edmonton A total of 13 cars were derailed threatening the safety of nearby residents Out of the 13 derailed tankers cars four cars were carrying crude oil and nine were carrying liquid petroleum gas LPG Each tanker car carrying LPG stored a payload of 130000 litres Fire fighters used ventandburn technics to put out the flames and prevented further explosions from happening About 120 residents in Gainsford were evacuated as a precaution On October 22 all fires were extinguished and residents were allowed to return to their homes No injuries or fatalities were reported,gainford,october,local
1016,North West River and Sheshatshiu NL June 2425 2012 Two local states of emergency were declared when wildfires threatened the communities of North West River and Sheshatshiu There were over 1000 residents who had to be evacuated and air lifted to safety Approximately 700 evacuees were accommodated at Canadian Forces Base Goose Bay and 300 were accommodated in emergency housing in Happy ValleyGoose Bay The evacuation order was lifted on June 25 and residents were allowed to return to their homes,june,local,states
1017,Island Lake and Garden Hill MB July 23 to August 1 2012 The smoke from a wildfire forced the evacuation of hundreds of people from communities within the region of Island Lake and Garden Hill By July 30 the total amount of evacuees had climbed to 1428 and were sheltered in the communities of Brandon Gimli Morris Portage la prairie and Winnipeg,july,august,smoke
1018,Lethbridge and Coalhurst AB September 1011 2012 Two large grass fires prompted local states of emergency and evacuations in southern Alberta The first fire originated in the Blood Reserve near Coalhurst and Lethbridge Approximately 2200 residents in Coalhurst as well as residents in a Lethbridge trailer park were evacuated and sent to safe zones in Lethbridge A second grass fire burned near the town of Milk River were approximately 800 people were evacuated to the nearby town of Raymond  Both grass fires damaged several sheds and outbuildings and destroyed one house There was also one fire related injury reported Residents were allowed to return to their homes on September 10 in Coalhurst and September 11 in Lethbridge,september,grass,fires
1019,Kashechewan and Fort Albany ON March 24 to April 01 2012 A state of emergency was declared when rapid snowmelt and early ice breakup caused flooding along the Albany river The flood forced the evacuation of approximately 269 residents to the towns of Kapuskasing and Wawa All evacuees were able to return to their homes by April 1 2012,march,april,state
1020,Sandy Lake ON July 31 to August 6 2012 The Sandy Lake First Nation declared a state of emergency due to the risk of smoke from wildfiresfires in northern Ontario A total of 637 residents were evacuated to Thunder Bay and Fort Frances Evacuees began returning to their homes on August 5 with the remaining evacuees allowed to return home on August 6,july,august,declared
1021,British Columbia July 1 to September 30 2014 A significant heat wave across British Columbia in July and August led to record breaking dry conditions and high to extreme fire danger ratings in most of the province Almost 360000 hectares of land was burned the third highest in the history of the province Over 4500 people were forced to evacuate throughout the season with the largest evacuations taking place in West Kelowna where 2500 people fled and Hudsons Hope where 1150 people fled in July due to wildfires At its peak over 3000 firefighters and frontline crews worked at combating the fires and as a result significant damage to infrastructure and communities was avoided As of November 2014 the Government of British Columbia estimated it spent approximately 300 million dollars responding to wildfires for the 2014 season,july,september,heat
1022,Northwest Territories July 1 to September 18 2014 Abnormally dry conditions and high temperatures fed peak wildfire conditions during the 2014 fire season By midJuly 168 separate fires were burning throughout the territory Voluntary and mandatory evacuations were issued in June and July most notably in the town of Kakisa where 60 residents were evacuated to Hay River and Fort Providence The Taltson hydroelectric facility was temporarily shut down as a precautionary measure due to fires that threatened the main transmission lines By the end of the wildfire season over 35 million hectares of land was burned the most in over 30 years In total 385 fires burned throughout the territory in 2014 57 per cent more than the annual average The Government of the Northwest Territories spent 55 million dollars fighting wildfires in 2014 more than eight times the average cost,july,september,abnormally
1023,Southeast British Columbia June 1921 2013 A series of intense rainstorms impacted southwestern Alberta and tracked into southeastern British Columbia causing widespread flooding mudslides and road closures Up to 130 mm of rain fell in some regions and multiple evacuations were ordered There were 130 homes that were evacuated in Sparwood due to rising flood waters while two mudslides closed parts of Highway 31 Highways 1 31 31A 43 and 93 were all closed due to washouts and debris flow There also was extensive overland flooding in the town of Fernie,june,series,intense
1024,Burlington ON February 2627 2012 VIA Rail passenger train No 92 was travelling from Niagara Falls to Toronto At 1523 EDT the train was approaching Burlington while entering crossover track No 5 at 67 mph which was 45 times the authorized speed limit Subsequently the locomotive and all five cars carrying 70 passengers derailed Three crewmembers were fatally injured and 45 people sustained various injuries The locomotive fuel tank was punctured and approximately 4300 litres of diesel fuel was released into the environment Site remediation work was contracted locally and monitoring wells were installed to monitor any potential ground water contamination,february,rail,passenger
1025,Quesnel Lake BC August 412 2014 The dam for the tailings pond at the Imperial Metals Mount Polley copper and gold mine breached,august,dam,tailings
1026,Ottawa ON Oct 22 2014 At approximately 0952 EDT an armed gunman Michael ZehafBibeau pulled up in his vehicle to the Ottawa National War Memorial where three Canadian Armed Forces members were posted on Ceremonial Guard sentry duty ZehafBibeau shot at Cpl Nathan Cirillo striking him twice in the back and fatally wounding him ZehafBibeau then fired at the other sentries as he fled towards the Parliament buildings,oct,approximately,edt
1027,LIsleVerte QC January 23 to February 1  2014 A fire broke out overnight in the kitchen of the Residence du Havre nursing home that housed 52 seniors with limited mobility A combination of a lack of installed sprinklers and the wooden construction of the building contributed to the intensity of the fire Twentyeight bodies were recovered during the initial search and another four were classified as missing and presumed dead There were 15 injuries mostly caused by smoke inhalation and carbon monoxide poisoning In addition two firefighters were treated for minor injuries The official Coroners report issued February 2015 cited a lack of adequate evacuation and emergency plans a lack of trained personnel on duty at the facility and a delay in the firefighter response and backup as factors that contributed to the severity of the disaster The fire was classified as an accident and no criminal investigation was commenced,lisleverte,january,february
1028,New Brunswick April 15 to May 2 2014 Spring flooding damaged more than 715 homes and businesses roads bridges and other public infrastructure around the province The majority of property damages were in and around Sussex and Sussex Corner where 120 homes and 10 businesses were flooded On April 16 a state of emergency was declared as water breached the banks of the St John River causing 1450 people to evacuate their homes In PerthAndover 23 patients were voluntarily evacuated and transferred to Upper River Valley Hospital Throughout the rest of the province swollen rivers led to the closure of several roads and localized flooding,april,spring,flooding
1029,SaintJeansurRichelieu QC October 2021 2014 At approximately 1130 EDT assailant Martin CoutureRouleau deliberately rammed his car into a pair of Canadian Armed Forces soldiers in a parking lot of a local shopping Centre narrowly missing another soldier and a police officer Warrant Officer Patrice Vincent was transported to hospital with lifethreatening injuries and another unnamed soldier sustained nonlife threatening injuries Warrant Officer Vincent succumbed to his injuries the next day in hospital Martin CoutureRouleau fled the scene chased by police officers He eventually lost control of his car and was killed after charging a police officer with a knife Prime Minister Stephen Harper and the RCMP classified this as a lonewolf ISIL inspired terrorist attack unconnected to the shooting on Parliament Hill only two days later,saintjeansurrichelieu,october,approximately
1030,Quebec December 2126 2013 A severe winter storm that formed over the Great Lakes region in Ontario tracked into Quebec bringing a mix of freezing rain ice pellets and snow The Eastern Townships region of the province was particularly impacted and at its peak an estimated 51000 Hydro Quebec customers were without power 153000 individuals The storm is attributed with the deaths of six people due to a mix of carbon monoxide poisoning and traffic accidents throughout the province Power was fully restored to all customers by December 26 2013,december,severe,winter
1031,Southern Ontario ON December 21 2013 to January 1 2014 A severe storm brought freezing rain and damaging ice accumulation across a large area of southern Ontario According to Environment Canada the epicentre of the freezing rain was in southern Ontario along the north shore of Lake Ontario including the Greater Toronto Area where ice accumulation reached up to 30 mm The impact of the ice storm on these municipalities and conservation authorities was further exacerbated by freezing temperatures The ice storm had serious impacts In its aftermath as many as 830000 hydro customers 2490000 individuals across Southern Ontario were without power for several days Downed trees broken branches and downed wires resulting from ice accumulation posed serious public health and safety risks as well as transportation network problems Due to widespread power outages and freezing temperatures municipalities activated emergency plans to open warming centres and canvassed homes of vulnerable residents to ensure their safety Power was restored to most residences and businesses by January 1 2014 Response and recovery activities began at the time of the event The ice storm significantly impacted some of Canadas largest and most densely populated urban municipalities Municipalities provincial ministries and nongovernmental organizations such as the Red Cross all acted to respond to the ice storm Ontario determined that the impacts of the storm were severe enough to warrant implementation of an Ice Storm Assistance Program to help municipalities and conservation authorities with emergency response and recovery costs Two deaths were attributed to the storm due to carbon monoxide poisoning from improperly ventilated generators and heaters  Note A request for federal assistance through the DFAA program has been made,december,january,severe
1032,Cumberland House SK April 29 to July 03 2013 Higherthannormal snow fall and lower temperatures delayed the annual spring melt until the end of April Over 15 communities declared states of emergencies between April and June as flood waters rose throughout the province Overland flooding occurred between Moose Jaw and Indian Head including parts of Regina and south past Weyburn to the US border Significant damage occurred on parts of Highways 2 and 3 that were washed out by the flood waters Flood waters flowing east on the South Saskatchewan River from Alberta following the June 19 flash floods reached a peak flow of 6000 cubic metres per second the highest ever recorded flowing into the Lake Diefenbaker Reservoir Between June 23 and 28 the Saskatchewan Water Security Agency began releasing water from the reservoir at a rate of 2000 cubic metres per second leading to a twometre rise in the river downstream As a result 2200 residents of Cumberland House were evacuated to Prince Albert and Saskatoon On July 3 2013 the evacuation order was lifted and residents began to return to the community  Note A request for federal assistance through the DFAA program has been made,april,july,higherthannormal
1033,Quebec New Brunswick Nova Scotia and Prince Edward Island July 56 2014 Hurricane Arthur transformed into a powerful PostTropical storm over the Maritime provinces The storm brought powerful wind gusts and heavy rain to Quebec New Brunswick Nova Scotia and Prince Edward Island The most amount of rain was received in St Stephen New Brunswick where it rained up to 143 mm The strongest winds were felt in Nova Scotia where in Greenwood wind gusts reached up to 140 kmh In Quebec severe flooding in MontLouis inundated several roads affecting 40 homes while in Marsoui approximately 30 homes were evacuated approximately 90 individuals The powerful winds generated by the storm downed trees and power lines throughout the Maritimes causing power outages property damage and infrastructure damage Approximately 290000 homes and businesses 870000 individuals in the Maritimes were without power while in Quebec approximately 23000 homes and businesses 69000 individuals were reported to have lost power,july,hurricane,arthur
1034,Ontario Quebec and New Brunswick December 20 2013 to January 03 2014 A severe winter storm system that formed over the Great Lakes Region caused significant damage in Ontario and Quebec before moving east bringing freezing rain ice pellets and snow to New Brunswick Starting December 20 southern Ontario received 2030 mm of freezing rain during a twoday period In Quebec 53000 people lost power due to the freezing rain which damaged power lines By December 23 over 54000 NB Power customers were without power A second storm tracked north along the Atlantic coast bringing up to 30 cm of snow causing more power outages and delays which complicated recovery efforts In total over 88000 NB Power customers approximately 264000 individuals lost power over an 11day period with the last restorations occurring on January 3 2014 In total 11 individuals died during the ice storm from either vehicle accidents or carbon monoxide poisoning from the use of gas generators,december,january,severe
1035,Quebec April 14 to May 1 2014 A series of intense rainstorms deposited up to 75 mm of rain throughout parts of southern Quebec over a threeday period Coupled with a delayed spring thaw the rain caused ice jams and flooding along several rivers in the province About 300 residents in SainteRaymond evacuated including residents from a seniors home due to raising water levels in the SainteAnne River Many homes situated near the Montmorency River along with homes in TroisRivieres Lennoxville and Weedon were evacuated In Sherbrooke 632 residents evacuated their homes as the SaintFrancois River reached a record peak of 75 metres,april,series,intense
1036,Southern Manitoba June 25 to July 14 2014 After a relatively quiet spring flood season heavy rainfall in Western Manitoba and Saskatchewan led to record flows and flooding along the Assiniboine QuAppelle and Souris Rivers Up to 200 mm of rain fell in some municipalities Over 43 local states of emergency were declared followed by a provincial state of emergency and formal request for federal assistance on July 4 Approximately 300 Canadian Armed Forces personnel deployed from CFB Shilo to help flood recovery efforts The Portage Diversion was opened near Portage la Prairie to direct flows from the Assiniboine river into Lake Manitoba In total approximately 560 people were evacuated from their homes The Government of Manitoba estimates that over 920000 acres of farm land went unseeded for the 2014 season representing 25 percent of arable acres in Manitoba with an associated estimated cost of over 1 billion dollars Note A request for federal assistance through the DFAA program has been made,june,july,quiet
1037,Southern Saskatchewan June 25 to July 14 2014 Heavy rain across southeastern Saskatchewan led to localized overland flooding road washouts highway closures and local power outages The affected basins were the Souris Lower QuAppelle and Assiniboine Some areas in southeastern Saskatchewan reported up to 240 mm of precipitation in less than two days Over 68 municipalities declared local states of emergency In Melville St Peters hospital evacuated 150 acute care patients due to rising flood waters The TransCanada Highway was washed out in several sections and CN rail was heavily impacted on its regional lines Peak flow levels on the Assiniboine and QuAppelle rivers exceeded that of the 2011 flood,june,july,heavy
1038,Southern Alberta June 15 to July 30 2014 Significant rainfall in southern Alberta led to overland flooding and evacuations along the Oldman St Mary Belly and Waterton rivers Twelve municipalities declared local states of emergency and over 500 people were evacuated throughout the province The most significant evacuations came from the Blood Tribe Reserve First Nation where 435 people were evacuated due to flooding and infrastructure failures Note A request for federal assistance through the DFAA program has been made,june,july,rainfall
1039,Northern Saskatchewan July 118 2015 The 2015 wildfire season in Saskatchewan featured an unprecedented number of wildfires that consequently caused the biggest fire evacuation effort in Saskatchewans history to date More than 13000 people from 54 different communities had to be evacuated from their homes in Northern Saskatchewan due to over 720 wildfires that burned nearly 18 million hectares of land The two most severely impacted communities were La Ronge and Montreal Lake Approximately 7900 residents of La Ronge Indian Band were forced to evacuate while in Montreal Lake approximately 1500 residents evacuated due to several wildfires that destroyed six buildings in the area Up to 1500 members of the Canadian Armed Forces were sent to the La Ronge area to assist firefighters,july,wildfire,season
1040,Southern Ontario August 23 2015 Southern Ontario was struck by three confirmed tornados two EF2 tornadoes and an EF1 tornado along with an EF1 downburst and one other unconfirmed tornado sighting An EF2 tornado touched down in the small town of Teviotdale located 60 kilometres north of Waterloo and another touched down in Lebanon Wind gusts were reported between 180 to 220 kmh in some areas The tornado that struck Lebanon caused only minimal damages however the tornado in Teviotdale left a nine kilometre trail of damage which downed power lines destroyed two homes and damaged several other homes and vehicles The EF1 tornado in Marsville also caused only minimal damages mostly to trees In addition there was a confirmed EF1 downburst in Utica that caused damages to a local Green Tractors John Deere Dealership as well as an unconfirmed tornado in Proton Station that collapsed a tent sending six people to the hospital Approximately 50000 hydro customers 150000 individuals in southwest Ontario were left without power due to the severe supercell system that caused the tornadoes to form Residents in several communities throughout southern Ontario experienced strong winds rain and hail after the tornadoes touched down as a second system moved into the region later in the evening,august,struck,confirmed
1041,Fort Albany and Kashechewan First Nation ON April 17 to May 11 2015 The annual spring melt resulted in high water levels in the Albany River which caused severe flooding for communities in the James Bay region A state of emergency was declared on April 17 for the Kashechewan First Nation which is situated in the mouth of the Albany River on the shores of James Bay The community of Fort Albany also declared a state of emergency on April 29 Evacuations in Kashechewan began April 25 where 1320 residents were air lifted to safety In Fort Albany 13 hospital patients were also evacuated by air On April 27 the Ontario government issued a Request for Federal Assistance RFA for aircrafts in response to the flood in order to evacuate the remaining residents The community of Moose Cree First Nation was also affected but no evacuations took place In total 1333 people were evacuated to Kapuskasing Smooth Rock Falls Wawa and Cornwall Some residents were permanently displaced due to mold and poor living conditions brought on by the reoccurring floods Evacuation efforts were complete by April 28,april,annual,spring
1042,Gogama and Mattagami First Nation ON March 79 2015 A CN Rail train carrying crude oil was derailed near the town of Gogoma in northern Ontario In total 30 out of the 94 tanker cars were derailed and caught fire About one million gallons of petroleum product spilled during the incident 21 cars sustained mild to severe damages and about 900 feet of track was destroyed Some of the derailed tanker cars leaked crude oil into the Makami River causing officials to issue a water advisory warning for the Mattagami First Nation community Residents of Gogoma and Mattagami First Nation were advised to stay indoors for risk of smoke inhalation,march,cn,rail
1043,Southern Ontario June 2223 2015 A cold front that swept through southern Ontario after a warm low pressure system created severe isolated thunderstorms that brought intense lightening heavy rain and strong winds Heavy rainfall caused flooding in London where there was up to 48 mm of rain and in Toronto where the Toronto Pearson International Airport recorded 110 mm Flooding in London overwhelmed the sewage system as well as caused damages to residential and commercial properties due to basement flooding In Toronto flooding caused road closures and delayed Go Transit Strong winds and lighting downed trees which caused damages to homes and power lines Approximately 100000 Hydro One customers 300000 individuals were without power during the storm,june,cold,swept
1044,Halifax NS March 28 2015 At 2340 EDT Airbus A320 travelling from Toronto to Halifax crash landed at the Halifax Stanfield International airport The plane struck an antenna array which damaged the landing gear causing the plane crashed into the ground 335 metres before the runway The plane subsequently skidded along the runway for more than 600 metres without landing gear There were 133 passengers and 5 crew members on board Flight 624 at the time of the crash Passengers and crew had to make an emergency exit outside the airplane and were forced to wait in the cold for first responders to arrive Out of the 138 people on board 25 people sustained injuries and were taken to local hospitals,march,edt,airbus
1045,Nepal April 25 to May 12 2015 Nepal was hit by a devastating 78 magnitude earthquake that originated outside of the capital city Kathmandu and was hit a second time by a 67 magnitude aftershock the next day The earthquake resulted in over 8669 fatalities which include 17 hikers on Mount Everest who were killed by an avalanche triggered by the earthquake On May 12 Nepal was hit again by two more earthquakes recorded as magnitude 73 and 63 quakes In the aftermath of the earthquake up to 600000 homes were damaged leaving approximately 860000 people in need of shelter The Canadian government contributed 5 million for relief efforts and deployed the Disaster Assistance Response Team DART to assist with humanitarian aid There were 450 Canadians registered with the Canadian government as being in Nepal at the time Two Canadians died while hiking in Nepals Langtang National Park,april,hit,devastating
1046,Maritime Provinces February 1517 2015 A major storm system formed off the United States east coast and moved towards the north Atlantic On February 15 the storm system hit Nova Scotia bringing with it snow ice and rain In Halifax the weather changed from snow to rain creating flooding in the streets which turned into an overnight flash freeze Greenwood Nova Scotia received 56 cm of snow while in Cape Breton Island wind gusts were recorded of up to 176 kmh The next day in New Brunswick heavy snow impacted Moncton where it snowed up to 58 cm The hardest hit area was Prince Edward Island where it snowed over 80 cm in Charlottetown During the storm damages were caused by strong winds that downed trees and power lines leaving approximately 4000 customers 12000 individuals without power in New Brunswick Flooding brought on by the rain also caused damages to city streets and created dangerous driving conditions as black ice formed when the temperature dropped The huge amount of snow that fell on the region buried vehicles left people stranded in their homes and resulted in the closure of numerous schools and businesses In New Annan Prince Edward Island 20 people were left homeless in blizzard conditions as fires irrupted in a motel where 18 people had to be evacuated as well as a home near Winsloe where two people had to be evacuated In addition an apartment fire in Fredericton resulted in the evacuation of one individual,february,major,storm
1047,Fredericton NB May 2829 2015 Fredericton was hit by a severe thunderstorm that knocked out power to 25000 people A significant amount of rain and hail fell in the area causing flash flooding in the streets of Fredericton It was reported that 25 to 40 mm of rain fell in one hour and the storm produced wind gusts of up to 82 kmh The storm that downed power lines and trees also produced a significant amount of lightening It was reported that there were 319 lightning strikes within 50 kilometres of Fredericton,hit,severe,thunderstorm
1048,PerthAndover NB April 1820 2015 PerthAndover experienced significant flooding due to a massive ice jam that broke apart on the St John and Tobique Rivers Ice congested local waterways near the village of PerthAndover causing water levels to rise The flooding forced 300 people to evacuate The Canadian Red Cross assisted with the evacuation order Many businesses closed down including schools and the local hospital where 23 patients staying at the Hotel Dieu of St Joseph had to be relocated Route 105 the major road into PerthAndover was closed due to the risk of overland flooding,perthandover,april,perthandover
1049,Southern Manitoba May 1618 2015 A Colorado low responsible for a tornado outbreak in the United States moved north into Manitoba where it merged with an Artic front The combined systems created a storm that produced strong winds and heavy rain that eventually turned into ice pellets snow and hail On May 17 southern Manitoba was hit with heavy rain and isolated thunderstorms that produced wind gusts of 93 kmh in Winnipeg 89 kmh in Gimli Harbour and 83 kmh near Brandon Heavy rain was also reported with the heaviest areas receiving 90 mm in Melita and 83 mm in Bede The Artic front lowered the temperature causing the rain to turn into freezing rain and snow MacGregor and Teulon both received 15 cm of snow Damages were caused by strong winds downing trees and power lines Approximately 5000 people temporarily lost power during the weekend storm Heavy rain and snowmelt also caused flooding in certain areas where damage was done to agricultural lands and cottage properties In addition the heavy rain caused sewage backups in Winnipeg,colorado,responsible,tornado
